Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1906,-0.31,-0.35,-0.16,-0.03,-0.21,-0.22,-0.27,-0.2,-0.25,-0.21,-0.39,-0.19,-0.23,-0.23,-0.29,-0.13,-0.23,-0.28
1907,-0.45,-0.53,-0.25,-0.41,-0.47,-0.44,-0.36,-0.37,-0.32,-0.25,-0.52,-0.51,-0.41,-0.38,-0.39,-0.38,-0.39,-0.37
1908,-0.46,-0.37,-0.58,-0.46,-0.41,-0.39,-0.36,-0.46,-0.33,-0.44,-0.52,-0.5,-0.44,-0.44,-0.45,-0.49,-0.4,-0.43
1909,-0.71,-0.48,-0.53,-0.6,-0.55,-0.53,-0.44,-0.3,-0.38,-0.4,-0.32,-0.55,-0.48,-0.48,-0.56,-0.56,-0.42,-0.37
1910,-0.45,-0.44,-0.48,-0.4,-0.35,-0.37,-0.32,-0.34,-0.37,-0.39,-0.57,-0.7,-0.43,-0.42,-0.48,-0.41,-0.34,-0.44
1911,-0.64,-0.61,-0.63,-0.56,-0.52,-0.47,-0.41,-0.43,-0.38,-0.26,-0.21,-0.26,-0.45,-0.49,-0.65,-0.57,-0.44,-0.29
1912,-0.28,-0.14,-0.38,-0.2,-0.21,-0.27,-0.42,-0.52,-0.47,-0.56,-0.39,-0.43,-0.35,-0.34,-0.22,-0.26,-0.4,-0.47
1913,-0.42,-0.44,-0.44,-0.37,-0.46,-0.46,-0.35,-0.33,-0.33,-0.35,-0.2,-0.04,-0.35,-0.38,-0.43,-0.42,-0.38,-0.29
1914,0.01,-0.14,-0.24,-0.29,-0.2,-0.23,-0.25,-0.16,-0.14,-0.06,-0.21,-0.1,-0.17,-0.16,-0.06,-0.24,-0.21,-0.14
1915,-0.21,-0.02,-0.09,0.06,-0.02,-0.16,-0.04,-0.16,-0.13,-0.23,-0.13,-0.25,-0.12,-0.1,-0.11,-0.02,-0.12,-0.16
1916,-0.2,-0.23,-0.32,-0.26,-0.28,-0.44,-0.34,-0.27,-0.3,-0.29,-0.43,-0.78,-0.35,-0.3,-0.23,-0.29,-0.35,-0.34
1917,-0.47,-0.54,-0.48,-0.39,-0.49,-0.41,-0.24,-0.27,-0.19,-0.36,-0.29,-0.72,-0.4,-0.41,-0.6,-0.45,-0.31,-0.28
1918,-0.43,-0.33,-0.21,-0.4,-0.38,-0.29,-0.21,-0.27,-0.14,-0.04,-0.16,-0.31,-0.26,-0.3,-0.49,-0.33,-0.25,-0.11
1919,-0.22,-0.21,-0.25,-0.17,-0.2,-0.28,-0.21,-0.19,-0.17,-0.16,-0.29,-0.35,-0.23,-0.22,-0.24,-0.21,-0.23,-0.21
1920,-0.16,-0.23,-0.08,-0.26,-0.25,-0.33,-0.32,-0.29,-0.2,-0.29,-0.34,-0.48,-0.27,-0.26,-0.25,-0.2,-0.31,-0.28
1921,-0.04,-0.21,-0.28,-0.36,-0.36,-0.31,-0.16,-0.24,-0.17,-0.06,-0.16,-0.19,-0.21,-0.24,-0.24,-0.34,-0.24,-0.13
1922,-0.35,-0.44,-0.13,-0.21,-0.34,-0.34,-0.27,-0.31,-0.29,-0.33,-0.17,-0.17,-0.28,-0.28,-0.32,-0.23,-0.3,-0.26
1923,-0.28,-0.37,-0.32,-0.39,-0.34,-0.24,-0.29,-0.29,-0.28,-0.13,0.03,-0.06,-0.25,-0.25,-0.27,-0.35,-0.27,-0.12
1924,-0.24,-0.28,-0.12,-0.35,-0.19,-0.29,-0.27,-0.35,-0.31,-0.36,-0.23,-0.42,-0.28,-0.25,-0.19,-0.22,-0.3,-0.3
1925,-0.34,-0.35,-0.23,-0.25,-0.3,-0.34,-0.29,-0.18,-0.14,-0.17,0.03,0.1,-0.2,-0.25,-0.37,-0.26,-0.27,-0.09
1926,0.2,0.08,0.13,-0.15,-0.25,-0.25,-0.2,-0.1,-0.11,-0.11,-0.06,-0.3,-0.09,-0.06,0.13,-0.09,-0.18,-0.09
1927,-0.28,-0.2,-0.38,-0.3,-0.24,-0.27,-0.13,-0.19,-0.05,-0.01,-0.04,-0.36,-0.21,-0.2,-0.26,-0.31,-0.2,-0.03
1928,-0.04,-0.12,-0.28,-0.28,-0.3,-0.41,-0.21,-0.25,-0.19,-0.18,-0.1,-0.2,-0.21,-0.23,-0.17,-0.29,-0.29,-0.16
1929,-0.47,-0.6,-0.33,-0.4,-0.38,-0.43,-0.32,-0.28,-0.23,-0.15,-0.14,-0.55,-0.36,-0.33,-0.42,-0.37,-0.35,-0.17
1930,-0.29,-0.24,-0.08,-0.25,-0.25,-0.17,-0.16,-0.1,-0.1,-0.08,0.14,-0.09,-0.14,-0.18,-0.36,-0.19,-0.15,-0.01
1931,-0.11,-0.22,-0.06,-0.21,-0.22,-0.06,0.01,0,-0.06,-0.01,-0.13,-0.1,-0.1,-0.1,-0.14,-0.17,-0.02,-0.07
1932,0.14,-0.18,-0.2,-0.07,-0.22,-0.3,-0.24,-0.24,-0.12,-0.1,-0.27,-0.23,-0.17,-0.16,-0.05,-0.17,-0.26,-0.16
1933,-0.35,-0.32,-0.29,-0.24,-0.25,-0.32,-0.2,-0.23,-0.26,-0.24,-0.32,-0.47,-0.29,-0.27,-0.3,-0.26,-0.25,-0.27
1934,-0.27,-0.04,-0.31,-0.27,-0.11,-0.14,-0.11,-0.1,-0.15,-0.11,-0.02,-0.09,-0.14,-0.18,-0.26,-0.23,-0.12,-0.1
1935,-0.37,0.11,-0.13,-0.35,-0.26,-0.23,-0.19,-0.17,-0.17,-0.08,-0.29,-0.22,-0.2,-0.19,-0.12,-0.25,-0.2,-0.18
1936,-0.29,-0.39,-0.23,-0.2,-0.17,-0.19,-0.06,-0.12,-0.06,-0.04,-0.05,-0.03,-0.15,-0.17,-0.3,-0.2,-0.12,-0.05
1937,-0.11,0.06,-0.17,-0.17,-0.07,-0.07,-0.04,0.03,0.14,0.09,0.09,-0.12,-0.03,-0.02,-0.03,-0.14,-0.03,0.11
1938,0,-0.04,0.05,0.05,-0.08,-0.17,-0.09,-0.04,0.03,0.11,0.01,-0.26,-0.04,-0.02,-0.05,0.01,-0.1,0.05
1939,-0.13,-0.12,-0.2,-0.12,-0.07,-0.08,-0.06,-0.05,0,-0.04,0.05,0.4,-0.03,-0.09,-0.17,-0.13,-0.06,0.01
1940,-0.16,0.06,0.12,0.16,0.06,0.05,0.1,0.01,0.12,0.07,0.12,0.19,0.07,0.09,0.1,0.11,0.05,0.1
1941,0.13,0.23,0.06,0.1,0.1,0.04,0.15,0.14,0.02,0.24,0.12,0.13,0.12,0.13,0.18,0.09,0.11,0.13
1942,0.25,0.04,0.12,0.14,0.13,0.1,0.02,-0.03,-0.01,0.06,0.13,0.12,0.09,0.09,0.14,0.13,0.03,0.06
1943,-0.01,0.21,0.01,0.13,0.1,-0.01,0.14,0.03,0.11,0.29,0.25,0.28,0.13,0.11,0.11,0.08,0.05,0.22
1944,0.41,0.31,0.34,0.27,0.26,0.23,0.23,0.23,0.31,0.27,0.12,0.05,0.25,0.27,0.33,0.29,0.23,0.23
1945,0.13,0.02,0.11,0.24,0.1,0.02,0.07,0.25,0.22,0.22,0.1,-0.1,0.11,0.13,0.07,0.15,0.11,0.18
1946,0.15,0.06,0,0.1,-0.04,-0.17,-0.09,-0.09,-0.02,-0.06,-0.02,-0.29,-0.04,-0.02,0.04,0.02,-0.12,-0.03
1947,-0.13,-0.08,0.05,0.04,-0.06,0,-0.07,-0.09,-0.14,0.06,-0.01,-0.18,-0.05,-0.06,-0.16,0.01,-0.05,-0.03
1948,0.05,-0.14,-0.23,-0.1,0.07,-0.05,-0.13,-0.1,-0.1,-0.07,-0.09,-0.23,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
1949,0.09,-0.17,-0.01,-0.08,-0.08,-0.22,-0.13,-0.08,-0.08,-0.03,-0.08,-0.19,-0.09,-0.09,-0.1,-0.06,-0.15,-0.06
1950,-0.3,-0.26,-0.07,-0.21,-0.12,-0.06,-0.09,-0.17,-0.1,-0.2,-0.35,-0.2,-0.18,-0.18,-0.25,-0.13,-0.11,-0.22
1951,-0.35,-0.44,-0.19,-0.1,-0.02,-0.05,0,0.05,0.08,0.06,-0.01,0.15,-0.07,-0.1,-0.33,-0.1,0,0.04
1952,0.16,0.12,-0.1,0.01,-0.05,-0.04,0.05,0.07,0.08,-0.04,-0.17,-0.01,0.01,0.02,0.14,-0.04,0.03,-0.04
1953,0.09,0.16,0.11,0.2,0.09,0.08,0.02,0.08,0.06,0.05,-0.05,0.04,0.08,0.07,0.08,0.13,0.06,0.02
1954,-0.28,-0.1,-0.12,-0.18,-0.19,-0.15,-0.16,-0.12,-0.06,-0.01,0.08,-0.18,-0.12,-0.11,-0.11,-0.16,-0.15,0
1955,0.11,-0.21,-0.36,-0.23,-0.2,-0.07,-0.09,0.04,-0.12,-0.05,-0.28,-0.32,-0.15,-0.14,-0.09,-0.26,-0.04,-0.15
1956,-0.16,-0.25,-0.23,-0.26,-0.28,-0.15,-0.11,-0.25,-0.21,-0.24,-0.17,-0.1,-0.2,-0.22,-0.24,-0.26,-0.17,-0.21
1957,-0.13,-0.05,-0.05,-0.03,0.08,0.16,0.01,0.14,0.06,0.01,0.07,0.16,0.04,0.01,-0.1,0,0.11,0.05
1958,0.4,0.24,0.1,0.01,0.09,-0.05,0.06,-0.06,-0.03,0.03,0.02,0.01,0.07,0.08,0.27,0.06,-0.02,0.01
1959,0.06,0.09,0.19,0.16,0.06,0.02,0.06,-0.01,-0.06,-0.08,-0.09,-0.03,0.03,0.04,0.05,0.14,0.03,-0.08
1960,-0.01,0.14,-0.36,-0.16,-0.08,0.01,-0.02,0,0.05,0.07,-0.11,0.18,-0.02,-0.04,0.04,-0.2,0,0
